owner_older40,owner_male,num_livestock,years_edu,num_employees,grid_subsidy_amount,grid_connection,firm_revenue
1,0,0,4,3,250,1,22565.63
0,1,4,7,2,200,1,21663.83
0,1,3,7,3,100,0,8570.761
1,0,0,6,2,150,0,10091.67
0,1,4,8,3,200,0,6717.755
0,0,0,6,0,150,0,4325.788
1,1,7,7,3,150,0,10972.34
0,1,5,9,3,50,0,9777.983
0,1,1,4,4,200,1,18557.98
0,0,2,7,2,250,1,17401.84
1,1,7,7,1,50,1,21030.51
0,1,4,5,3,50,0,5245.899
0,0,2,4,2,50,0,3784.497
0,1,2,8,2,200,1,22250.41
1,1,1,5,1,50,0,10127.66
1,0,0,7,3,50,1,21887.22
0,0,2,8,3,150,1,20772.8
1,0,1,4,4,100,0,10856.29
1,1,1,7,0,100,0,12192.98
1,0,1,9,1,100,1,22066.38
0,0,1,5,3,250,0,8481.62
1,1,1,6,4,150,1,20787.65
0,0,2,8,3,200,0,7462.044
0,0,2,6,1,150,0,4289.969
0,0,1,7,1,200,1,18962.31
0,0,1,5,1,250,0,5439.325
1,0,0,7,2,250,1,17224.93
0,1,1,6,2,250,1,17548.65
0,0,6,8,3,50,1,23848.52
0,1,5,7,3,50,0,6129.795
0,0,0,7,3,100,0,11119.15
0,0,4,9,1,50,0,5476.844
1,0,3,5,0,50,0,12569.68
1,1,1,6,5,100,0,12051.17
0,1,8,5,2,50,0,7480.843
0,1,0,8,1,100,1,20636.46
0,0,1,7,1,100,0,5475.57
0,1,0,10,1,250,0,6998.67
0,1,2,8,0,250,0,8438.818
0,0,3,8,2,100,0,6302.854
1,1,3,6,1,250,0,9174.814
0,0,4,10,3,100,0,5760.502
0,1,2,5,3,100,0,6405.536
0,1,3,6,0,50,0,6094.12
0,1,7,9,2,200,0,9187.444
0,0,3,10,0,50,1,24196.63
0,1,4,5,2,150,1,20310.4
0,0,1,9,3,200,0,6273.034
0,1,2,7,2,250,1,18130.56
0,1,2,5,2,150,0,8217.214
0,0,0,6,1,200,0,5773.05
0,1,3,5,1,50,0,10434.63
0,1,1,7,7,200,0,8445.724
0,0,1,10,1,100,0,7739.465
0,1,1,10,0,250,0,7699.583
0,0,3,10,1,100,0,6667.877
0,1,2,8,5,50,0,8271.615
0,0,2,7,1,150,0,6107.519
0,1,0,7,7,100,0,12200.69
0,0,1,5,7,250,0,9239.02
0,0,0,5,3,50,0,6327.082
0,0,0,7,3,150,0,7448.44
0,0,6,6,1,50,0,3841.3
0,1,2,10,0,250,0,8305.449
0,0,2,4,3,150,0,4825.221
0,0,2,6,2,50,0,5238.91
0,0,3,7,0,150,0,3223.589
0,1,0,6,0,100,0,5068.823
0,0,1,10,1,50,0,12431.97
0,1,1,5,0,50,0,5873.03
0,1,2,9,2,250,0,6907.234
1,1,2,5,0,150,0,9779.118
1,0,1,6,3,250,1,21855.25
1,0,0,10,2,250,1,20124.09
0,1,3,10,2,100,0,11502.89
0,0,1,4,1,100,0,7046.035
0,1,1,4,4,50,0,9730.211
1,0,3,4,3,200,1,18749.01
0,0,1,5,0,200,0,7997.349
1,0,3,4,2,100,0,8212.769
1,0,4,9,3,100,0,9174.823
0,0,3,6,1,150,0,6968.257
1,0,4,9,1,50,0,8429.803
0,1,5,4,1,100,0,7377.505
1,1,1,9,0,200,1,18834.59
0,1,4,9,3,250,0,9672.972
0,0,3,8,2,200,0,7772.445
0,1,4,9,3,100,0,11680.8
0,1,2,5,1,250,0,7007.791
0,0,7,6,1,100,0,7082.036
0,0,0,9,1,150,0,9080.277
0,0,1,8,5,250,0,6077.555
0,1,1,9,1,200,0,9830.707
1,0,0,6,1,100,1,28904.98
0,1,2,8,2,150,0,7435.727
1,0,3,9,0,50,0,11878.92
0,0,1,9,1,100,0,6337.613
1,1,0,8,6,200,1,28859.19
0,1,4,6,1,150,0,7228.476
0,1,0,9,0,250,1,19588.88
1,0,3,7,1,200,0,9362.756
0,0,1,7,1,50,0,9245.992
0,1,1,5,1,250,1,24153.86
1,1,0,7,1,50,1,21829.69
0,0,3,9,3,150,0,10473.68
0,0,1,5,2,150,0,3939.735
1,1,2,6,0,100,0,11303.38
0,1,3,9,0,150,0,11536.47
0,1,7,4,1,50,0,12957.12
0,0,1,10,2,50,0,7747.652
1,0,1,9,2,150,0,10226.56
1,0,3,4,3,100,0,10034.85
0,0,1,8,4,200,0,5557.438
0,0,2,9,1,250,0,8648.045
0,1,4,9,1,50,0,10249.17
1,0,3,8,2,50,0,11048.65
0,1,3,10,1,150,0,8225.325
1,0,3,7,0,100,1,21223.49
1,1,1,9,0,50,0,11490.13
0,1,1,8,0,250,0,7520.702
0,1,1,7,1,250,1,18997.21
1,1,0,9,1,250,1,19338.17
0,1,1,9,0,200,0,8710.756
0,0,6,7,1,100,0,7768.574
1,0,4,5,4,150,0,11534.16
1,0,1,5,0,100,0,6035.255
0,0,5,7,4,100,0,7027.757
0,1,3,4,3,50,0,9854.26
0,1,3,9,3,100,0,10524.99
0,0,3,8,3,150,0,11194.77
0,1,4,4,2,150,0,7411.5
0,0,0,5,2,100,0,4798.632
0,1,1,6,0,100,0,4854.668
0,1,5,6,4,50,0,11879.46
0,0,0,7,4,100,0,6230.52
0,0,2,10,2,250,1,20793.16
0,1,2,7,2,250,0,6214.814
0,0,1,5,1,50,0,5677.476
0,1,4,8,2,250,1,17535.96
0,1,0,7,1,150,0,9022.744
0,1,1,9,2,50,0,10227.52
0,0,3,5,1,100,0,12065.61
1,0,3,7,3,250,1,17847.37
1,1,4,5,4,150,1,33958.17
0,0,1,4,3,250,0,7018.894
0,0,6,5,0,250,0,7012.349
0,1,5,8,1,50,0,6590.172
0,1,2,6,5,200,0,5723.212
0,1,5,7,2,200,1,21977
0,0,0,5,0,50,0,4404.378
0,0,1,10,3,50,0,11073.69
0,0,1,4,4,250,0,4596.777
0,1,2,9,1,250,0,6875.921
1,0,3,8,0,50,1,22420.47
0,0,3,7,1,250,0,3734.278
0,0,0,8,1,100,0,4965.314
1,0,6,8,2,100,1,22504.48
0,0,1,6,0,150,1,19802.14
1,0,2,8,1,200,1,20225.62
0,1,2,7,1,200,1,19238.12
0,0,2,5,0,50,0,6878.72
0,0,4,9,2,100,0,5298.926
0,1,3,9,0,50,1,24443.88
0,0,1,4,2,100,0,8317.169
1,0,1,4,2,200,0,8337.876
0,0,2,6,2,150,0,6184.919
0,0,2,8,3,150,1,19885.98
0,0,6,10,2,250,0,8574.838
0,1,1,5,0,250,0,8675.411
1,0,2,5,9,150,1,20902.74
0,0,1,9,1,50,0,9020.46
1,0,2,5,3,250,0,7798.264
0,1,2,7,2,150,0,6816.741
0,1,1,6,4,250,0,9412.145
0,1,1,4,0,200,0,7259.485
1,1,0,9,1,250,1,26237.72
1,0,0,8,3,250,1,18612.48
0,0,5,8,2,100,0,9145.589
0,1,3,9,3,200,0,10145.88
0,0,1,9,2,100,0,7409.816
1,1,0,5,2,100,0,9547.674
0,0,1,7,0,150,0,3210.584
0,1,0,8,2,100,0,9845.736
0,1,3,6,2,250,0,7710.609
0,0,3,8,1,100,1,21265.23
0,0,5,8,5,150,0,5203.375
0,0,7,10,0,200,0,9304.571
1,1,1,6,5,250,1,18265.19
1,1,2,10,1,200,1,18590.53
0,1,5,5,0,250,0,5565.998
0,0,2,8,3,200,0,6505.401
0,0,1,6,1,200,0,8655.407
0,0,3,8,4,200,0,3894.129
0,1,4,8,1,250,0,6793.316
1,1,2,7,5,200,1,21522.76
0,0,3,5,1,250,0,9572.951
0,0,1,8,2,150,0,7681.619
0,0,1,8,2,200,0,4822.764
1,0,2,6,3,100,0,12334.81
0,1,2,6,6,100,0,9785.504
0,1,1,8,3,250,0,6989.972
0,0,2,5,4,200,0,3467.526
0,1,0,4,3,100,0,11624
0,0,2,9,3,100,0,7414.792
0,1,2,9,4,250,0,8164.575
0,1,7,7,0,50,0,9942.799
0,0,4,4,3,150,0,3718.206
0,0,0,6,0,200,0,2855.861
1,1,3,8,0,150,1,22074.94
1,1,1,5,1,150,0,11178.94
0,1,5,5,5,150,0,11217.82
0,1,3,6,0,150,1,19455.25
0,0,1,8,2,200,0,9675.702
0,0,2,8,1,250,0,5015.744
0,0,2,9,2,100,0,7548.292
0,0,3,6,3,200,0,7251.949
0,1,4,9,0,100,0,11340.67
0,0,4,8,7,100,0,5397.016
0,1,2,7,0,50,0,8932.455
0,1,1,6,1,50,0,9150.564
0,0,2,6,4,50,0,5778.289
1,1,1,5,1,250,1,18741.04
1,0,2,10,1,200,1,20823.3
0,0,4,7,1,150,0,10466.93
0,1,1,6,1,200,0,10304.24
0,1,2,6,2,150,0,8653.582
0,1,3,9,0,100,0,7801.829
0,0,2,7,3,50,0,12493.51
0,0,3,10,2,250,1,19104.33
0,0,3,7,0,100,0,9341.651
1,0,2,10,1,250,1,19483.64
1,0,3,5,3,150,0,10365.35
1,0,6,7,2,250,1,22119.72
0,1,1,4,0,100,0,5482.945
1,0,2,5,5,100,0,8762.275
0,1,1,6,1,100,0,9380.051
0,1,0,5,4,50,0,6860.706
0,0,3,6,1,50,0,5041.689
0,1,2,6,1,200,1,19437.3
1,1,2,7,2,250,1,17665.91
0,0,2,8,4,250,0,8597.239
0,0,1,10,1,250,0,7939.625
0,1,1,9,0,150,1,19028.27
0,1,1,8,1,100,0,6924.471
0,1,1,7,1,150,0,8114.262
0,0,2,9,3,50,0,8056.363
0,1,0,4,2,200,1,19849.62
1,0,1,6,2,200,1,20113.63
0,1,3,7,3,150,0,8302.922
0,1,0,6,0,250,0,5371.938
0,1,4,9,1,100,0,6773.475
0,1,3,8,1,50,0,8055.987
0,0,4,6,4,200,0,6556.223
0,0,2,8,2,200,0,9435.697
1,1,1,5,0,100,0,8873.379
0,1,0,6,6,200,0,7231.7
0,0,2,7,0,100,0,9354.715
0,1,0,6,3,50,0,8094.905
1,0,3,5,6,100,0,7243.337
0,1,1,4,3,250,0,6800.431
1,0,2,10,0,50,1,22354.45
0,1,0,9,0,250,1,19095.34
1,1,4,5,1,150,0,11108.77
0,0,0,7,2,100,0,4915.354
1,1,1,9,2,50,0,11095.59
0,0,5,8,1,250,0,8809.04
1,1,2,8,2,100,0,11174.04
0,1,2,4,1,100,0,7398.263
0,1,0,5,6,250,0,5689.027
1,0,0,9,4,100,0,10966.84
1,1,8,5,4,250,0,8757.406
0,1,3,9,0,100,0,11792.34
1,1,1,7,3,150,1,22113.91
1,0,3,6,1,50,0,11357.61
1,1,3,9,0,50,0,12608.75
0,1,0,7,2,150,0,10324.13
1,0,1,10,2,250,1,17440.87
0,1,6,6,2,200,1,19767.79
0,0,1,7,1,200,0,7006.871
0,1,1,7,2,250,0,7909.604
1,0,4,10,3,250,1,23827.58
0,0,1,9,4,250,0,7215.932
0,1,1,7,3,250,0,6919.622
0,0,1,9,1,250,0,6405.75
0,0,0,6,2,200,0,8938.416
0,1,2,8,1,50,0,12233.38
1,0,1,10,5,50,1,23130.69
0,0,3,8,4,150,0,8360.817
1,1,0,7,1,200,1,22878.52
0,0,4,9,2,150,0,5288.455
0,1,3,6,4,100,1,22921.06
0,1,3,5,5,100,0,6162.035
0,1,4,7,1,50,0,8187.452
1,0,1,5,0,100,0,8224.03
1,1,8,8,2,50,0,12663.26
0,1,2,8,2,200,1,20738.94
1,0,1,8,2,150,1,19474.5
0,0,2,4,1,100,0,4263.271
0,1,0,7,2,150,1,19557.25
1,0,1,10,6,150,1,24950.5
0,1,4,6,2,150,0,10647.83
0,1,0,9,4,250,1,19198.69
1,1,1,7,1,100,0,10840.32
0,1,2,5,3,50,0,6342.533
0,1,0,7,3,250,1,17110.7
0,1,2,6,4,100,0,5240.233
0,0,2,9,3,250,0,6312.03
1,1,4,4,1,100,1,21226.73
0,0,3,8,1,100,0,7121.278
1,1,3,5,2,50,1,22990.79
0,1,3,6,0,150,0,8224.341
0,0,8,5,0,250,0,3730.071
1,1,0,5,4,50,0,11512.64
1,1,2,5,3,100,0,10373.34
0,0,1,8,2,50,0,7992.128
0,1,6,7,0,150,0,5980.496
0,1,2,6,1,100,0,7853.809
0,0,7,9,0,250,0,7498.707
1,1,1,6,3,200,1,25680
0,1,4,5,2,200,0,4299.284
0,1,3,4,1,100,0,6964.876
0,1,4,8,1,250,1,17691.72
0,1,1,5,2,100,0,10627.76
1,1,2,4,5,250,1,24152.45
0,1,1,8,1,150,0,6920.566
0,0,2,5,2,200,0,5272.088
1,1,1,9,2,250,1,23238.66
0,0,0,9,3,100,0,11209.8
0,0,6,5,3,50,0,11087.79
1,1,5,7,3,100,1,22019.07
1,1,2,9,0,200,1,19301.73
1,0,2,9,3,250,0,9566.263
0,0,1,9,1,100,0,6633.569
0,0,2,7,4,150,0,8875.095
0,1,1,8,3,250,1,17411.79
1,0,6,7,3,200,1,22351.4
1,1,3,9,1,50,1,24769.76
0,1,3,8,7,200,1,21593.7
1,0,6,7,1,100,0,10214.68
0,0,1,7,0,100,0,5934.197
0,1,7,9,2,100,0,10209.17
0,0,1,8,1,150,0,8101.126
0,1,1,4,3,200,0,5458.362
0,1,0,9,1,200,1,19303.84
1,1,1,8,2,150,1,19893.1
0,1,3,8,1,250,0,7587.716
1,0,1,4,3,200,0,8347.605
0,0,3,4,0,100,0,6315.9
0,0,1,5,5,250,0,6580.524
0,0,5,6,2,50,0,7756.984
1,0,1,9,2,100,0,8705.782
0,1,0,5,0,200,0,6381.671
0,0,1,5,2,200,0,6744.532
0,1,1,4,5,250,0,8491.575
0,1,9,4,3,100,0,10150.62
1,0,6,5,1,50,0,8870.7
0,0,5,7,3,50,0,5691.819
0,1,3,7,2,150,0,6403.758
0,0,2,6,1,100,0,8840.031
0,1,4,7,4,50,1,23803.53
0,1,0,7,4,200,0,9509.381
0,0,4,5,4,50,0,4416.997
0,0,3,9,2,150,1,20069.73
0,0,3,5,2,150,0,6057.66
0,1,3,5,6,50,0,8150.835
0,1,3,9,3,150,0,8702.075
0,0,2,7,2,150,0,8593.714
1,1,6,9,1,100,0,12027.98
0,0,1,7,1,100,0,7823.153
0,1,6,8,0,100,0,7409.33
0,1,4,4,2,50,0,9765.208
1,1,3,7,0,200,1,24719.17
0,1,1,9,1,200,0,9981.329
1,0,5,5,1,100,1,19877.24
1,0,4,5,4,150,1,20314.8
0,0,1,6,3,100,0,3409.967
0,0,3,6,2,200,0,3567.603
0,0,3,9,2,150,0,7775.264
0,0,1,4,0,50,0,3239.282
0,1,0,4,1,100,0,10694.55
1,0,1,6,2,50,0,8159.935
1,1,2,5,2,250,1,22532.76
0,1,2,4,0,50,0,5502.989
0,0,1,5,1,50,0,6257.725
1,1,1,8,2,100,1,21011.76
0,1,0,9,2,100,0,8912.42
0,0,4,4,1,250,0,7150.58
0,1,1,8,3,100,0,7244.786
1,1,2,6,2,150,1,21412.46
1,0,5,7,3,200,1,18762.54
0,1,2,8,0,100,0,11236.18
0,0,2,8,0,50,0,12215.04
0,1,1,8,1,50,0,12400.1
1,1,2,5,4,100,0,9902.751
0,0,2,6,2,200,0,5299.617
0,1,1,4,1,100,0,5325.109
0,1,0,6,3,150,0,8965.444
0,1,0,4,5,100,0,8056.396
0,1,0,9,1,150,1,19782.04
0,1,0,8,4,50,0,12977.25
0,0,1,4,2,200,0,4239.583
1,0,1,7,4,200,0,8861.566
0,1,7,8,1,150,0,9438.44
1,0,3,6,2,50,0,9896.28
0,0,3,7,2,50,0,5194.134
0,0,6,10,0,200,0,9340.532
0,1,1,7,2,150,0,7434.281
1,0,2,8,5,250,1,18078.74
0,1,2,9,2,50,0,8518.223
0,0,4,7,3,150,0,9910.449
0,1,2,4,0,200,0,6614.245
0,1,3,6,2,200,1,21753.5
0,0,1,5,4,200,1,20417.44
0,1,1,5,4,200,0,9314.877
0,0,1,9,3,150,0,4596.488
0,1,4,9,3,100,1,20755.95
0,1,1,5,3,200,1,19346.46
0,0,2,6,5,250,1,18127.71
1,0,8,6,2,150,0,10424.01
0,1,1,4,0,250,0,6453.309
0,0,3,4,5,150,0,6444.483
0,0,1,5,1,50,0,10434.72
0,1,7,9,2,100,0,8604.804
0,0,1,5,3,200,0,3158.5
0,1,2,5,2,50,0,10210.45
0,0,0,5,3,100,0,3998.796
0,0,4,8,2,250,0,8560.854
0,0,5,7,2,200,0,5579.602
0,0,5,8,2,150,0,6964.426
0,1,0,9,1,100,0,9437.707
1,1,2,6,1,250,1,18623.38
1,0,1,6,2,150,0,9415.51
0,0,3,6,2,200,0,5834.426
1,0,3,5,2,50,1,21257.66
0,0,0,9,5,250,0,4642.046
0,1,1,6,2,250,1,17856.5
0,1,1,9,1,100,1,20871.24
0,0,3,6,1,50,0,5516.711
0,0,4,5,0,150,0,4535.658
0,0,3,8,5,250,0,7107.514
0,1,0,4,1,250,1,18695.14
0,1,1,7,2,100,0,10234.09
1,1,0,6,2,200,1,25725.24
1,1,2,6,1,150,0,11111.37
0,0,1,8,3,100,0,8867.896
0,1,2,9,2,200,0,6463.499
0,1,6,6,4,200,0,7037.963
0,1,2,5,0,150,0,7145.799
0,1,1,6,1,100,0,7743.502
0,1,2,7,0,150,1,21796.68
0,0,3,8,1,150,0,6677.713
0,1,1,6,1,100,0,8175.882
1,0,2,10,3,150,1,19570.2
0,0,2,6,0,50,0,7580.233
0,1,4,8,1,150,0,9049.093
0,1,2,6,1,200,0,10193.39
0,1,1,6,1,200,0,5234.69
1,1,2,6,1,50,0,13080.73
0,0,1,6,3,200,0,8702.747
0,1,3,8,1,200,0,8474.387
0,0,2,8,4,100,0,4224.369
1,1,1,9,0,250,1,18171.73
0,0,5,7,0,50,0,9824.348
0,1,9,5,1,150,0,7368.67
0,0,5,5,3,250,0,4711.768
0,1,3,9,7,150,1,22822.61
0,1,0,8,1,150,0,8760.386
0,0,3,8,1,100,1,21536.93
0,0,5,5,1,50,0,8495.235
0,0,4,8,4,150,0,10936.89
1,1,1,7,2,50,0,9999.24
1,1,1,9,2,250,1,19197.56
0,0,2,6,1,100,0,5962
0,0,1,9,0,200,0,5720.116
0,0,2,9,2,100,0,6999.187
0,1,1,10,0,150,0,10569
0,0,3,7,2,150,0,9759.973
1,1,1,5,0,200,1,19975.2
0,1,1,10,2,50,0,10831.2
0,0,3,8,0,100,0,11399.86
0,0,1,5,3,200,0,5018.029
0,0,1,7,7,150,0,5218.573
1,0,4,7,1,200,0,10079.96
0,1,0,4,0,250,0,8369.95
0,1,1,9,2,250,1,23551.24
0,1,4,6,2,200,1,19790.31
1,1,3,6,0,50,0,10151.57
0,0,0,10,4,50,0,5054.347
0,0,3,8,3,250,0,6050.759
1,1,2,8,1,250,1,21261.2
0,0,4,7,6,100,0,6542.635
0,0,1,9,2,200,0,4062.934
1,1,2,7,2,50,1,23611.11
0,1,4,8,0,50,0,8191.691
0,1,3,6,3,50,0,6477.396
0,1,6,5,1,200,0,8856.776
0,1,5,4,3,200,0,9824.634
0,0,2,7,0,200,0,3882.122
0,1,4,10,1,250,1,23811.16
0,0,2,9,1,200,0,7472.544
0,1,1,6,0,50,0,10030.45
1,0,1,7,0,50,1,24136.45
1,0,3,4,1,100,0,7770.436
0,0,2,4,2,50,0,5501.6
1,0,3,5,3,100,1,20468.93
0,0,0,7,2,150,0,5995.857
0,0,1,5,6,100,0,4828.304
0,1,0,6,2,50,0,6719.034
1,0,6,4,1,100,0,6492.85
1,0,2,4,4,50,0,8367.635
0,0,2,5,5,50,0,8313.257
0,0,1,9,4,150,0,10695.6
0,0,5,4,3,250,0,6569.89
0,1,3,9,0,100,1,20668.87
0,0,4,4,2,100,0,3867.139
0,0,1,10,0,50,0,6829.128
1,0,4,5,1,250,1,18717.17
0,0,3,7,0,100,0,5709.843
1,0,1,8,1,100,0,9467.345
1,0,4,7,4,100,1,20945.41
1,0,2,9,2,200,1,18346.97
1,0,3,6,4,200,0,8552.468
1,1,6,6,1,150,0,11383.35
0,0,1,9,4,50,0,8929.63
0,1,2,5,4,50,0,11869.54
1,0,1,9,2,250,1,18847.85
1,1,2,7,1,150,0,10157.68
0,0,0,6,4,100,0,6353.275
0,0,1,9,0,200,1,19527.67
0,0,1,4,0,250,0,5578.621
0,1,1,10,4,100,0,10393.93
1,1,1,9,1,100,0,10981.85
0,1,2,9,1,200,1,19125.54
0,0,2,5,0,100,0,8175.759
0,1,5,9,2,200,0,10164.95
0,0,0,6,4,100,0,8875.037
1,1,2,9,0,250,1,18720.55
0,1,2,5,2,150,0,10554.82
0,0,2,8,4,50,0,10573.97
0,1,1,7,2,150,0,8709.053
0,0,0,6,3,250,0,5023.763
1,1,1,8,4,50,1,22487.9
0,1,1,9,0,100,0,11418.59
1,0,0,9,0,150,0,9478.317
0,0,3,7,5,250,0,5567.679
1,0,1,8,2,250,0,8445.786
0,0,1,5,0,50,0,4996.765
0,1,1,5,2,100,0,12258.4
0,0,4,5,4,200,0,4742.601
0,1,1,4,0,100,0,8727.713
0,1,1,6,1,150,0,10268.79
0,1,3,7,1,200,0,9127.887
0,1,2,5,0,100,1,21583.93
1,1,0,6,1,250,1,21408.18
0,1,3,9,3,250,0,9061.86
1,0,0,4,2,150,0,10932.18
0,1,2,6,1,100,0,6088.047
0,0,4,6,6,150,1,19018.37
1,1,1,5,2,50,0,8952.622
1,0,3,9,4,100,1,19959.91
0,0,5,8,2,100,0,5777.288
0,0,0,5,2,250,0,10021.13
0,1,2,5,1,200,0,7871.054
0,1,0,6,1,50,0,6674.042
0,0,3,5,3,100,0,8445.376
1,1,7,9,3,50,1,24155.25
0,1,0,4,4,250,0,6772.896
1,1,1,6,0,150,0,8891.415
1,1,2,9,3,50,1,21189.25
0,0,1,6,4,150,0,10074.61
1,1,2,4,5,200,1,18512.76
1,0,2,8,0,50,0,12793.05
0,0,1,8,1,200,0,6829.652
1,1,2,10,1,200,1,22693.74
0,0,3,5,1,250,0,6680.468
0,0,2,10,0,50,0,7272.115
0,0,7,7,2,100,1,20766.94
0,0,2,5,4,200,0,6455.79
0,0,0,7,1,250,1,20204.3
0,1,0,5,4,150,0,4578.364
0,1,2,5,3,200,0,6115.278
0,0,1,10,1,50,0,13191.55
1,0,1,6,3,150,0,8938.63
1,0,7,10,0,250,1,20867.05
1,1,0,7,1,100,1,22291.16
0,1,0,5,1,150,0,5283.956
1,0,2,4,2,200,1,19725.22
0,0,2,6,3,100,0,6955.54
1,1,2,5,2,100,0,10555.55
0,1,4,10,0,50,0,7788.357
0,0,2,9,5,50,0,11269.5
0,1,3,6,1,100,0,7135.741
0,1,1,9,5,250,0,8668.746
1,0,8,10,3,150,1,20375.17
0,1,0,5,2,200,1,19595.85
1,0,2,4,0,100,0,12491.16
0,1,1,8,2,250,0,7182.178
0,0,1,6,2,200,0,4722.505
0,1,2,5,1,100,0,6366.091
1,0,3,10,2,200,1,21338.37
0,1,0,8,0,250,0,7097.562
1,0,5,9,0,150,0,9280.446
0,0,2,7,2,250,0,5085.35
1,1,1,5,0,200,1,24164.72
0,0,0,10,0,50,0,9237.542
0,1,0,10,3,50,0,11963.78
0,0,1,5,4,200,1,18859.94
0,1,1,9,4,250,1,18341.45
1,1,5,6,5,250,1,17782.46
0,1,3,8,4,100,0,7339.753
1,1,3,9,1,150,1,23363.35
0,0,2,6,2,250,0,3370.594
1,1,7,10,2,150,1,21166.33
0,1,3,9,4,150,0,7445.449
0,1,1,9,0,200,0,6839.389
0,1,1,8,2,50,0,11200.23
0,1,2,7,4,50,0,9807.093
0,1,0,8,1,200,0,9666.963
